Week,Laos,USA,Kuwait,Malaysia,Azerbaijan,Canada,Peru,Bulgaria,Bosnia&Herzegovina,Hungary,Georgia,North Macedonia,Moldova,Croatia,Czechia,Slovakia,Romania,Lithuania,Brazil,Slovenia,Poland,Chile,Latvia,Armenia,Argentina,Colombia,Trinidad&Tobago,Belgium,Paraguay,Italy,Greece,Mexico,Ukraine,United Kingdom,Russia,Tunisia,Serbia,Spain,Portugal,Uruguay,Ecuador,France,Panama,Bolivia,Estonia,Austria,Sweden,Kosovo,South Africa,Iran,Costa Rica,Namibia,Switzerland,Germany,Lebanon,Jordan,Ireland,Puerto Rico,Netherlands,Albania,Turkey,Botswana,Israel,Honduras,Guatemala,Kazakhstan,Denmark,Jamaica,Libya,Bahrain,Oman,Cyprus,Mauritius,Sri Lanka,Cuba,Belarus,Mongolia,Iraq,El Salvador,Finland,Indonesia,Philippines,Norway,Kyrgyzstan,Vietnam,Morocco,Nepal,Dominican Republic,India,Zimbabwe,Thailand,South Korea,Lesotho,Saudi Arabia,Australia,Egypt,Qatar,United Arab Emirates,Singapore,Japan,Zambia,Venezuela,Cambodia,Syria,Bangladesh,Algeria,Pakistan,Senegal,Sudan,Kenya,New Zealand,Uganda,Cameroon,Haiti,Yemen,Mozambique,Ethiopia,Angola,Uzbekistan,Ghana,Nicaragua,Cote d'Ivoire,Nigeria,Congo (Kinshasa),Tanzania,Tajikistan,China
11/12/2017,0,65,0,28,20,40,9,72,0,17,42,33,45,18,59,0,6,21,64,0,12,16,0,26,60,13,40,0,22,4,35,31,13,11,20,23,0,27,61,30,21,48,30,19,20,16,26,0,11,2,42,0,43,31,0,8,14,33,27,11,1,0,26,22,0,5,41,65,0,0,27,0,0,24,0,2,0,0,0,76,37,19,46,0,57,0,0,41,29,0,33,0,0,21,53,21,0,53,26,80,0,12,0,0,0,0,19,0,40,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2017,0,44,17,57,21,47,0,30,0,83,0,0,15,19,28,0,6,0,84,0,14,16,14,25,52,13,20,39,22,2,47,36,11,12,18,23,22,26,22,0,14,24,30,20,0,0,23,0,11,1,21,0,43,40,26,0,9,0,23,0,1,0,52,0,0,11,39,43,0,31,0,44,34,0,0,12,0,0,0,52,39,30,75,14,43,17,75,42,36,0,23,19,0,33,55,0,0,30,31,88,0,12,39,0,24,36,32,0,0,29,23,28,0,0,0,0,29,0,0,41,0,0,0,0,31,0,0
11/26/2017,0,56,17,17,10,44,2,30,0,67,0,0,0,38,29,0,5,0,59,31,14,5,14,0,30,14,20,26,0,4,31,43,14,11,25,23,0,23,47,0,14,18,0,0,0,16,20,27,18,0,0,0,0,16,26,0,12,0,19,0,1,0,7,21,0,38,28,66,0,0,55,93,0,0,0,23,0,0,0,52,45,19,72,27,54,0,0,0,28,0,11,100,0,28,53,36,26,32,37,85,42,0,0,0,0,68,56,0,0,18,12,27,0,0,0,0,28,0,0,21,0,0,27,0,0,0,0
12/3/2017,0,56,17,39,20,39,2,19,0,17,0,34,0,0,29,0,12,0,65,0,7,23,70,0,45,24,0,13,0,5,48,34,6,11,20,47,43,33,41,0,15,18,0,0,21,0,28,0,2,2,0,0,58,26,27,22,26,56,24,11,1,0,53,0,0,31,27,22,73,0,0,0,0,24,0,7,0,0,0,36,34,22,46,26,36,0,36,21,30,51,6,39,0,56,37,22,0,15,27,80,0,13,0,32,25,0,13,0,0,12,24,56,0,0,0,0,28,37,0,0,0,0,0,0,31,0,40
12/10/2017,0,60,0,28,0,45,7,19,0,34,0,0,43,0,0,0,10,22,45,91,14,11,0,49,13,8,0,26,0,1,32,22,7,13,16,0,21,47,47,32,23,17,0,12,0,0,10,30,5,1,23,0,14,36,14,8,12,28,23,32,1,0,20,0,0,21,32,45,36,32,0,15,0,0,0,23,0,0,0,18,37,14,15,13,43,0,36,0,35,50,28,39,0,22,42,28,0,69,28,64,41,0,0,0,24,17,70,0,40,6,30,0,0,0,0,0,0,38,0,0,0,0,14,0,0,0,0
12/17/2017,0,45,49,51,0,51,3,0,0,36,0,34,30,0,64,0,5,0,37,0,2,6,29,0,17,17,23,0,0,6,33,2,10,11,17,0,22,12,17,0,8,25,0,0,0,34,14,29,10,1,0,0,15,39,41,16,9,0,20,0,2,0,61,0,0,33,25,0,0,0,0,47,0,0,0,12,0,0,0,37,35,20,34,27,28,0,0,0,31,0,12,20,0,21,43,21,28,16,47,77,0,0,0,30,77,18,26,0,0,0,12,0,0,0,0,0,0,40,64,22,0,0,44,0,0,0,41
12/24/2017,50,40,17,41,11,31,0,14,0,36,0,0,15,0,16,19,13,0,41,72,8,0,16,0,10,0,0,15,0,4,35,5,11,11,15,25,0,22,17,0,20,14,0,13,0,55,8,0,12,1,27,0,0,36,14,25,14,30,9,0,1,0,53,0,0,29,22,0,0,32,28,17,39,25,0,15,0,0,0,46,39,17,30,15,32,17,0,0,60,0,12,0,0,11,40,21,27,33,30,68,42,0,0,30,95,17,70,0,41,14,21,35,0,0,0,0,0,0,0,0,0,0,16,0,0,0,82
12/31/2017,0,47,17,52,21,40,0,25,0,33,0,0,30,0,28,17,10,22,50,33,5,6,0,0,10,18,20,0,0,2,28,11,9,10,30,0,23,20,23,0,8,19,0,12,64,16,18,29,22,2,0,0,48,64,100,8,26,0,8,0,1,0,52,0,0,24,29,0,34,0,0,0,0,0,0,15,0,0,0,48,30,20,49,0,29,50,0,0,25,0,18,0,0,11,40,14,0,17,60,59,0,16,40,30,26,17,32,0,0,0,12,61,0,0,0,0,0,0,35,43,54,0,59,0,0,46,0
1/7/2018,0,46,0,22,10,38,0,23,0,32,19,0,43,19,14,49,14,0,45,0,11,0,14,0,9,8,19,39,23,6,36,28,13,12,20,24,20,29,22,33,29,23,34,0,20,30,21,28,22,1,22,0,14,40,53,8,27,0,15,42,1,26,20,0,0,16,40,21,0,0,0,0,32,24,0,7,41,46,0,63,26,17,25,13,38,0,35,0,25,0,23,0,0,11,42,0,26,23,31,54,0,13,0,0,0,35,19,0,0,19,52,0,0,0,0,0,0,0,60,40,48,0,39,0,29,0,38
1/14/2018,0,49,0,33,9,40,0,22,31,0,0,32,14,0,55,0,11,21,38,29,18,0,27,0,13,21,0,13,0,4,50,26,11,12,21,0,20,11,45,0,7,17,33,0,20,0,24,54,11,1,21,0,68,73,12,22,23,0,26,20,1,0,19,0,0,15,40,0,0,0,0,30,0,24,0,15,41,22,0,68,46,21,98,14,45,16,0,0,42,0,22,19,0,46,34,20,50,44,31,84,0,0,0,0,0,0,31,0,40,6,28,0,48,0,0,0,0,0,0,21,0,0,37,0,32,42,38
